key,description,en,sv_auto
,,,#VALUE!
,menu,,#VALUE!
home.en,,Home,Hem
menu.1,,Truck Camper,Truck Camper
menu.2,,RV Interior,Inredning
menu.3,,RV Exterior,Exteriör
menu.4,,Van Equipment,Van-utrustning
menu.5,,Auto Parts,Bildelar
menu.6,,RV Accessories ,Tillbehör
,,,#VALUE!
descripton.1,,"Transform your pickup truck into a fully functional mobile home with our comprehensive selection of truck camper equipment and accessories. Whether you're planning weekend getaways or extended road trips, our range includes everything needed to create a comfortable and efficient living space on your truck bed. From slide-in campers and pop-up shells to essential amenities like storage solutions, electrical systems, and insulation kits, we offer practical and affordable options sourced directly from manufacturers. Our truck camper collection focuses on durability, space optimization, and ease of installation, ensuring your vehicle conversion meets your specific travel needs. Whether you're a weekend warrior or a full-time nomad, discover reliable gear that maximizes your truck's potential while maintaining factory-direct pricing. Explore our selection of camper shells, tie-down systems, and interior components designed to enhance comfort and functionality on every adventure.","Förvandla din pickup till ett fullt fungerande husbilshem med vårt omfattande utbud av utrustning och tillbehör till husbilar. Oavsett om du planerar weekendresor eller längre bilresor, innehåller vårt sortiment allt som behövs för att skapa ett bekvämt och effektivt boendeutrymme på ditt lastbilsflak. Från inskjutbara husbilar och popup-skal till viktiga bekvämligheter som förvaringslösningar, elsystem och isoleringskit, erbjuder vi praktiska och prisvärda alternativ som kommer direkt från tillverkare. Vår kollektion av husbilar fokuserar på hållbarhet, utrymmesoptimering och enkel installation, vilket säkerställer att din fordonsombyggnad uppfyller dina specifika resebehov. Oavsett om du är en weekendkrigare eller en heltidsnomad, upptäck pålitlig utrustning som maximerar din lastbils potential samtidigt som du bibehåller fabrikspriser. Utforska vårt urval av husbilsskal, surrningssystem och interiörkomponenter utformade för att förbättra komfort och funktionalitet på varje äventyr."
