key,description,en,fr_auto
,,,#VALUE!
,menu,,#VALUE!
home.en,,Home,Accueil
menu.1,,Truck Camper,Cabine
menu.2,,RV Interior,Intérieur
menu.3,,RV Exterior,Extérieur
menu.4,,Van Equipment,Équipements
menu.5,,Auto Parts,Pièces automobiles
menu.6,,RV Accessories ,Accessoires 
,,,#VALUE!
descripton.1,,"Transform your pickup truck into a fully functional mobile home with our comprehensive selection of truck camper equipment and accessories. Whether you're planning weekend getaways or extended road trips, our range includes everything needed to create a comfortable and efficient living space on your truck bed. From slide-in campers and pop-up shells to essential amenities like storage solutions, electrical systems, and insulation kits, we offer practical and affordable options sourced directly from manufacturers. Our truck camper collection focuses on durability, space optimization, and ease of installation, ensuring your vehicle conversion meets your specific travel needs. Whether you're a weekend warrior or a full-time nomad, discover reliable gear that maximizes your truck's potential while maintaining factory-direct pricing. Explore our selection of camper shells, tie-down systems, and interior components designed to enhance comfort and functionality on every adventure.","Transformez votre pick-up en une véritable maison mobile grâce à notre vaste sélection d'équipements et d'accessoires pour camping-cars. Que vous planifiez des escapades de fin de semaine ou de longs voyages, notre gamme comprend tout le nécessaire pour créer un espace de vie confortable et fonctionnel dans votre benne. Des cellules amovibles aux cellules relevables, en passant par les aménagements essentiels comme les solutions de rangement, les systèmes électriques et les kits d'isolation, nous proposons des options pratiques et abordables, directement issues des fabricants. Notre collection de camping-cars pour pick-ups privilégie la durabilité, l'optimisation de l'espace et la facilité d'installation, garantissant ainsi que l'aménagement de votre véhicule réponde parfaitement à vos besoins. Que vous soyez un aventurier du week-end ou un nomade à temps plein, découvrez des équipements fiables qui exploitent au maximum le potentiel de votre pick-up tout en bénéficiant de prix directs d'usine. Explorez notre sélection de cellules amovibles, de systèmes d'arrimage et d'aménagements intérieurs conçus pour améliorer le confort et la fonctionnalité lors de chaque aventure."
